patent_abstract,patent_title
A method for analyzing images to generate a plurality of output features includes receiving input features of the image and performing Fourier transforms on each input feature. Kernels having coefficients of a plurality of trained features are received and on-the-fly Fourier transforms (OTF-FTs) are performed on the coefficients in the kernels. The output of each Fourier transform and each OTF-FT are multiplied together to generate a plurality of products and each of the products are added to produce one sum for each output feature. Two-dimensional inverse Fourier transforms are performed on each sum.,Methods and systems for analyzing images in convolutional neural networks
A method for analyzing images to generate a plurality of output features includes receiving input features of the image and performing Fourier transforms on each input feature. Kernels having coefficients of a plurality of trained features are received and on-the-fly Fourier transforms (OTF-FTs) are performed on the coefficients in the kernels. The output of each Fourier transform and each OTF-FT are multiplied together to generate a plurality of products and each of the products are added to produce one sum for each output feature. Two-dimensional inverse Fourier transforms are performed on each sum.,Methods and systems for analyzing images in convolutional neural networks
"Methods, systems and apparatus that provide for perceptual, cognitive, and motor behaviors in an integrated system implemented using neural architectures. Components of the system communicate using artificial neurons that implement neural networks. The connections between these networks form representations—referred to as semantic pointers—which model the various firing patterns of biological neural network connections. Semantic pointers can be thought of as elements of a neural vector space, and can implement a form of abstraction level filtering or compression, in which high-dimensional structures can be abstracted one or more times thereby reducing the number of dimensions needed to represent a particular structure.",Methods and systems for artificial cognition
A system extracting features from a time-varying signal comprising a computer processor and a computer readable medium having computer executable instructions for providing: a bank of bandpass filters; a module approximating the output of those filters with nonlinear components; a module representing a decorrelated projection of the output of the filters with nonlinear components; and a module representing the temporal derivative of the decorrelated information with nonlinear components.,Methods and systems for extracting auditory features with neural networks
Internet routers are a key component in today's Internet. Each router forwards received packets toward their final destinations based upon a Longest Prefix Matching (LPM) algorithm select an entry from a routing table that determines the closest location to the final packet destination among several candidates. Prior art solutions to LPM lookup offer different tradeoffs and that it would be beneficial for a design methodology that provides for low power large scale IP lookup engines addressing the limitations within the prior art. According to embodiments of the invention a low-power large-scale IP lookup engine may be implemented exploiting clustered neural networks (CNNs). In addition to reduced power consumption embodiments of the invention provide reduced transistor count providing for reduced semiconductor die footprints and hence reduced die cost.,Methods and systems for network address lookup engines
"A method of forming semiconductor elements in an artificial neural network, the method including forming a substrate including an oxide layer, forming a Silicon layer on the oxide layer, depositing a thin film dopant layer on the Silicon layer, and controlling a concentration of the dopant in the thin film dopant layer.",Methods for fabricating artificial neural networks (ANN) based on doped semiconductor elements
"A system configured to reconstruct audio signals. The system may identify missing audio samples due to packet loss or detect distortion caused by audio clipping and may reconstruct the audio data. The system may employ a forward-looking neural network that recursively predicts audio samples based on previous audio samples and/or a backward-looking neural network that recursively predicts audio samples based on subsequent audio samples. The system may generate audio data using only the forward-looking neural network for low latency applications or may generate audio data using both neural networks for mid to high latency applications. To reduce distortion in output audio data, the system may generate the audio data by cross-fading between outputs of the neural networks and/or may cross-fade between the generated audio data and the input audio data.",Methods for reconstructing an audio signal
"Methods are provided for developing medical diagnostic tests using decision-support systems, such as neural networks. Patient data or information, typically patient history or clinical data, are analyzed by the decision-support systems to identify important or relevant variables and decision-support systems are trained on the patient data. Patient data are augmented by biochemical test data, or results, where available, to refine performance. The resulting decision-support systems are employed to evaluate specific observation values and test results, to guide the development of biochemical or other diagnostic tests, too assess a course of treatment, to identify new diagnostic tests and disease markers, to identify useful therapies, and to provide the decision-support functionality for the test. Methods for identification of important input variables for a medical diagnostic tests for use in training the decision-support systems to guide the development of the tests, for improving the sensitivity and specificity of such tests, and for selecting diagnostic tests that improve overall diagnosis of, or potential for, a disease state and that permit the effectiveness of a selected therapeutic protocol to be assessed are provided. The methods for identification can be applied in any field in which statistics are used to determine outcomes. A method for evaluating the effectiveness of any given diagnostic test is also provided.","Methods for selecting, developing and improving diagnostic tests for pregnancy-related conditions"
"Decision-support systems, such as neural networks, for assessing the risk of delivery within a predetermined time or the likelihood of preterm delivery are provided.","Methods for selecting, developing and improving diagnostic tests for pregnancy-related conditions"
"The present invention relates to implementing a system and method to improve speech recognition and speech enhancement of noisy speech. The present invention discloses a way to improve the noise robustness of a speech recognition system by providing additional input to a Neural Network speech classifier. The additional information characterizes the noise environment of the speech. The present invention further discloses a speech separation system that uses the output of the neural network. The speech separation system employs models for the speech and for the distractor or noise. The neural network is used to identify the most likely combinations of speech and noise. Furthermore, a system for efficiently finding the most likely clean speech log-spectrum value is disclosed.",Methods for speech enhancement and speech recognition using neural networks
"The present disclosure provides methods for applying artificial neural networks to flow cytometry data generated from biological samples to diagnose and characterize cancer in a subject. The disclosure also provides methods of training, testing, and validating artificial neural networks.",Methods for using artificial neural network analysis on flow cytometry data for cancer diagnosis
The present disclosure provides methods for applying artificial neural networks to flow cytometry data generated from biological samples to diagnose and characterize cancer in a subject.,Methods for using artificial neural network analysis on flow cytometry data for cancer diagnosis
"A method for testing a neural network, and apparatus for carrying out the method. A first embodiment of the method includes the steps of (a) providing a neural network having a set of connection values, (b) stimulating at least one input of the neural network with an input vector to obtain output signals at an output of the neural network, (c) obtaining a plurality of samples of the output signals, wherein at least one of the plurality of samples is delayed in time from another one of the samples, and wherein at least one of the plurality of samples may represent a difference between two samples, (d) generating an image from the plurality of samples, and (e) comparing the image to a reference image to determine an operational characteristic of the neural network. The step of generating generates an image that is comprised of a plurality of points, wherein each of the points is referenced to an x-y coordinate system, wherein a distance along the x-axis is a function of a value of the output of the neural network for a given input vector applied to a first input of the neural network, and wherein a distance along the y-axis is function of a value of the output of the neural network for the given input vector applied a second input of the neural network.",Metrics for specifying and/or testing neural networks
"Microprocessor assemblies are disclosed, which include a plurality of preprogrammed, cellular automaton microprocessors, a common radiant energy data waveguide into which said microprocessors can emit and from which said microprocessors can absorb modulated radiant energy signals, and a power supply radiant energy waveguide. Means are provided for each microprocessor to demodulate the absorbed signal and to modulate the emitted signal according to codes assigned to each said microprocessor. The common data waveguide provides for exchange of signals among the plurality of microprocessors. The relative degree of communication between two given microprocessors is determined by the degree to which the respective codes match. Said codes are subject to change. The change is determined by the demodulated inputs of the microprocessors. Means are provided for selective activation and deactivation of microprocessors through selective activation power supply. Changeability of the codes and the selective power supply provide for the means to induce a wide range of the desired patterns of connectivity and the desired degree of connectivity among the plurality of the microprocessors. There are also disclosed methods for making such microprocessor assemblies.",Microprocessor assemblies forming adaptive neural networks
"A hybrid router for dynamical control systems is described. The mobile hybrid software router (MHSR) combines distinctive computational and mathematical techniques, including evolutionary computation (EC), probabilistic simulations (PS), machine learning and artificial neural networks (A-NNs), in order to solve unique problems encountered in an unknown environment in real time. Embodied in intelligent mobile software agents (IMSAs), the MHSR operates within a multi-agent system (MAS) to continually optimize system operation. The MHSR is applied to several major complex system categories. In one embodiment of the system, the MHSR is implemented in hardware, including continuously programmable field programmable gate arrays (CP-FPGAs), for perpetually reconfigurable evolvable hardware operation. Whether in application-specific or multi-functional mode, the MHSR is useful to groups of agents in intelligent systems for adaptation to uncertain environments in order to perform self-organization capabilities.",Mobile hybrid software router
"Mobile phones and methods for mobile phone failure prediction include receiving respective log files from one or more mobile phone components, including at least one user application. The log files have heterogeneous formats. A likelihood of failure of one or more mobile phone components is determined based on the received log files by clustering the plurality of log files according to structural log patterns and determining feature representations of the log files based on the log clusters. A user is alerted to a potential failure if the likelihood of component failure exceeds a first threshold. An automatic system control action is performed if the likelihood of component failure exceeds a second threshold.",Mobile phone with system failure prediction using long short-term memory neural networks
"A system for determining the location of a mobile station based upon measurable mobile data values such as those provided by mobile-assisted handoff (MAHO) procedures. The mobile stations make signal strength measurements of nearby base stations and return that information to the serving base station. A timing advance necessary to synchronize the mobile may also be determined. The signal strength measurements and the timing advance data then provide information to map to an estimated vehicle location. Since the mobiles are assumed to measure signal strength discretely, there may be several consecutive positions along a road which return identical mobile data. The road is thus segmented into constant segements which are consecutively indexed, and an association is established between the associated mobile data vector and the index. The process for location of a mobile consists of first finding the road for the mobile unit, then finding the position along the road. The mobile vector is sequentially input into a look up table or neural networks (one for each road in the sector) until an output coordinate pair actually lies near the corresponding road. From that point on, the input vector provides an index to a constant region along the road, so the mobile is unambiguously located as to which road, and to which segment along the road it occupies.",Mobile telephone location process making use of handoff data
"A method and system for locating a mobile user of one or more mobile users while on a call in a wireless telecommunication network utilizes a decision network that determines if the call signal is propagating through a repeater station. When the call is propagating through a repeater station, the decision network alters the signal measurement parameters to correspond with the location of the mobile user relative to the repeater station co-ordinates. By revising signal measurement parameters to compensate for repeater stations, the present invention provides for improved position estimates of the location of the mobile user in the network. For multiple cell soft handoff conditions, the decision network utilizes trained neural networks.",Mobile user position locating system
"The model adaptation system of the present invention is a speaker verification system that embodies the capability to adapt models learned during the enrollment component to track aging of a user's voice. The system has the advantage of only requiring a single enrollment for the user. The model adaptation system and methods can be applied to several types of speaker recognition models including neural tree networks (NTN), Gaussian Mixture Models (GMMs), and dynamic time warping (DTW) or to multiple models (i.e., combinations of NTNs, GMMs and DTW). Moreover, the present invention can be applied to text-dependent or text-independent systems.",Model adaptation of neural tree networks and other fused models for speaker verification
"A method includes receiving an input data set, each entry including multiple features. The method includes receiving a user input identifying a target feature of the multiple features and a target value of the target feature. The method includes determining, one or more correlated features of the multiple features. The method includes providing the input data set to multiple neural networks (including multiple VAEs) to train the multiple neural networks. The method includes generating a simulated data set based on the input data set, each entry including at least the target feature and the one or more correlated features. Values of the one or more correlated features are randomized or pseudorandomized and the target feature is fixed at the target value. The method includes providing the simulated data set to the multiple neural networks to generate output data and displaying a GUI based on the output data.",Model building for simulation of one or more target features
"A novel 3-Input-3-Output (3×3) Model-Free Adaptive (MFA) controller with a set of artificial neural networks as part of the controller is introduced. A 3×3 MFA control system using the inventive 3×3 MFA controller is described to control key process variables including Power, Steam Throttle Pressure, and Steam Temperature of boiler-turbine-generator (BTG) units in conventional and advanced power plants. Those advanced power plants may comprise Once-Through Supercritical (OTSC) Boilers, Circulating Fluidized-Bed (CFB) Boilers, and Once-Through Supercritical Circulating Fluidized-Bed (OTSC CFB) Boilers.",Model-free adaptive control of advanced power plants
"Behavior of an electrical circuit can be modeled using a trained neural network. For example, using one or more neural networks, power consumption, including leakage power and switching energy, can be estimated. Also, a profile of current versus time can be generated for the electrical circuit. A hierarchy of neural networks may be used to model the circuit at different levels. In one embodiment, a circuit behavior is modeled using one or more neural networks, cluster values, and cluster probabilities.",Modeling behavior of an electrical circuit
"An “Interestingness Modeler” uses deep neural networks to learn deep semantic models (DSM) of “interestingness.” The DSM, consisting of two branches of deep neural networks or their convolutional versions, identifies and predicts target documents that would interest users reading source documents. The learned model observes, identifies, and detects naturally occurring signals of interestingness in click transitions between source and target documents derived from web browser logs. Interestingness is modeled with deep neural networks that map source-target document pairs to feature vectors in a latent space, trained on document transitions in view of a “context” and optional “focus” of source and target documents. Network parameters are learned to minimize distances between source documents and their corresponding “interesting” targets in that space. The resulting interestingness model has applicable uses, including, but not limited to, contextual entity searches, automatic text highlighting, prefetching documents of likely interest, automated content recommendation, automated advertisement placement, etc.",Modeling interestingness with deep neural networks
"In one embodiment of the present invention, a loudspeaker modeling subsystem configures a neural lumped parameter loudspeaker (NeLP) model to represent the behavior of a loudspeaker. The NeLP model is implemented as a cascaded combination of a lumped parameter model (LPM) and a neural network (NN) model. To configure the model, the loudspeaker modeling subsystem first estimates values for the parameters used in the LPM. The loudspeaker modeling subsystem then “fixes” these parameters and trains the NN model to act on a predicted output pressure that is generated via the LPM. More specifically, the loudspeaker modeling subsystem configures the NN to modify the predicted output pressure to minimize the error between the predicted output pressure and a measured loudspeaker output pressure. Notably, by strategically fusing the LPM and the NN model, the NeLP model leverages the strengths and mitigates the weaknesses typically associated with conventional loudspeaker modeling techniques.",Modeling loudspeakers based on cascading lumped parameter models with neural networks
"Computation-intensive applications such as sensor signal processing, sensor fusion, image processing, feature identification, pattern recognition, and early vision place stringent requirements on the computational capacity, size, weight, and power dissipation of modular computational systems intended for both embedded and high performance computer environments. Such ultra high speed, ultra high density computational modules will typically be configured with multiple processor, memory, dedicated sensor, and digital signal processing chips in close-packed multichip modules. The present invention relates to a novel architecture and associated apparatus for the development of highly multiplexed photonic interconnections between pairs of such electronic chips incorporated in vertical stacks within three-dimensional multichip module configurations. Vertical signal transmission through the chip substrates is accomplished by using a planar-waveguide-based optical power bus to provide a parallel array of beams to read out a modulator array that is flip-chip bonded to each silicon substrate. Local and quasi-local connectivity in the vertical dimension is accomplished by using diffractive optical structures that provide for both point-to-point interconnections and weighted fan-out within a local neighborhood. Global connectivity is incorporated by means of computer-generated volume holographic optical elements that are fabricated as a multilayer diffractive optical element. Several different architectural implementations of such computational modules are provided to address applications that include high-bandwidth two-dimensional displays, multilayer neural networks, image processors, multiple processors with access to shared memory, and rending engines for computer animation and graphics. In addition, subsystems of the computational-module architecture and apparatus are described that provide for compact optical readout of modulator-based flat panel displays.",Modulator-based photonic chip-to-chip interconnections for dense three-dimensional multichip module integration
"A machine learning paradigm called Graph Transformer Networks extends the applicability of gradient-based learning algorithms to systems composed of modules that take graphs as inputs and produce graphs as output. Training is performed by computing gradients of a global objective function with respect to all the parameters in the system using a kind of back-propagation procedure. A complete check reading system based on these concept is described. The system uses convolutional neural network character recognizers, combined with global training techniques to provides record accuracy on business and personal checks.",Module for constructing trainable modular network in which each module inputs and outputs data structured as a graph
"A method for configuring nanoscale neural network circuits using molecular-junction-nanowire crossbars, and nanoscale neural networks produced by this method. Summing of weighted inputs within a neural-network node is implemented using variable-resistance resistors selectively configured at molecular-junction-nanowire-crossbar junctions. Thresholding functions for neural network nodes are implemented using pFET and nFET components selectively configured at molecular-junction-nanowire-crossbar junctions to provide an inverter. The output of one level of neural network nodes is directed, through selectively configured connections, to the resistor elements of a second level of neural network nodes via circuits created in the molecular-junction-nanowire crossbar. An arbitrary number of inputs, outputs, neural network node levels, nodes, weighting functions, and thresholding functions for any desired neural network are readily obtained by the methods of the present invention.",Molecular-junction-nanowire-crossbar-based neural network
"A system (10) for monitoring and controlling a fabrication process includes at least a first subsystem (12), a crystallographic analysis subsystem (14), and a second subsystem (16), wherein the first subsystem and second subsystem perform respective fabrication steps on a workpiece. The crystallographic analysis subsystem may be coupled to both the first subsystem and second subsystem. The analysis subsystem acquires crystallographic information from the workpiece after the workpiece undergoes a fabrication step by the first subsystem and then provides information, based on the crystallographic information acquired, for modifying parameters associated with the respective fabrication steps. The system may also include neural networks (24, 28) to adaptively modify, based on historical process data (32), parameters provided to the respective fabrication steps. The analysis subsystem may include a electromagnetic source (61), a detector (66), a processor (67), a controller (68) and a scanning actuator (65).",Monitoring and control of a fabrication process
"A method of managing the processing of information using a first neural network, the information relating to the transmission of messages in a telecommunications network, uses the steps of: PA1 (i) monitoring the performance of the first neural network in processing the information; PA1 (ii) creating a second neural network of the same topology as the first when a predetermined performance threshold is reached, and PA1 (iii) retraining the second neural network while continuing to process the information using the first neural network. If the neural networks are implemented using objects, such retraining can be facilitated by using a persistance mechanism to enable the objects to be stored and moved. Applications in fraud detection.",Monitoring and retraining neural network
A method for generating an event includes monitoring a first neural network with a second neural network. The method also includes generating an event based on the monitoring. The event is generated at the second neural network. The event may be generated based on a spike received at the second network during the monitoring.,Monitoring neural networks with shadow networks
""" A monocrystalline monolith contains a 3-D array of interconnected lattice-matched devices (which may be of one kind exclusively, or that kind in combination with one or more other kinds) performing digital, analog, image-processing, or neural-network functions, singly or in combination. Localized inclusions of lattice-matched metal and (or) insulator can exist in the monolith, but monolith-wide layers of insulator are avoided. The devices may be self-isolated, junction-isolated, or insulator-isolated, and may include but not be limited to MOSFETs, BJTs, JFETs, MFETs, CCDs, resistors, and capacitors. The monolith is fabricated in a single apparatus using a process such as MBE or sputter epitaxy executed in a continuous or quasicontinuous manner under automatic control, and supplanting hundreds of discrete steps with handling and storage steps interpolated. """"Writing"""" on the growing crystal is done during crystal growth by methods that may include but not be limited to ion beams, laser beams, patterned light exposures, and physical masks. The interior volume of the fabrication apparatus is far cleaner and more highly controlled than that of a clean room. The apparatus is highly replicated and is amenable to mass production. The product has unprecedented volumetric function density, and high performance stems from short signal paths, low parasitic loading, and 3-D architecture. High reliability stems from contamination-free fabrication, small signal-arrival skew, and generous noise margins. Economy stems from mass-produced factory apparatus, automatic IC manufacture, and high IC yield. Among the IC products are fast and efficient memories with equally fast and efficient error-correction abilities, crosstalk-free operational amplifiers, and highly paralleled and copiously interconnected neural networks. """,Monocrystalline three-dimensional integrated circuit
""" A monocrystalline monolith contains a 3-D array of interconnected lattice-matched devices (which may be of one kind exclusively, or that kind in combination with one or more other kinds) performing digital, analog, image-processing, or neural-network functions, singly or in combination. Localized inclusions of lattice-matched metal and (or) insulator can exist in the monolith, but monolith-wide layers of insulator are avoided. The devices may be self-isolated, junction-isolated, or insulator-isolated, and may include but not be limited to MOSFETs, BJTs, JFETs, MFETs, CCDs, resistors, and capacitors. The monolith is fabricated in a single apparatus using a process such as MBE or sputter epitaxy executed in a continuous or quasicontinuous manner under automatic control, and supplanting hundreds of discrete steps with handling and storage steps interpolated. """"Writing"""" on the growing crystal is done during crystal growth by methods that may include but not be limited to ion beams, laser beams, patterned light exposures, and physical masks. The interior volume of the fabrication apparatus is far cleaner and more highly controlled than that of a clean room. The apparatus is highly, replicated and is amenable to mass production. The product has unprecedented volumetric function density, and high performance stems from short signal paths, low parasitic loading, and 3-D architecture. High reliability stems from contamination-free fabrication, small signal-arrival skew, and generous noise margins. Economy stems from mass-produced factory apparatus, automatic IC manufacture, and high IC yield. Among the IC products are fast and efficient memories with equally fast and efficient error-correction abilities, crosstalk-free operational amplifiers, and highly paralleled and copiously interconnected neural networks. """,Monocrystalline three-dimensional integrated circuit
"Methods of recognizing motions of an object in a video clip or an image sequence are disclosed. A plurality of frames are selected out of a video clip or an image sequence of interest. A text category is associated with each frame by applying an image classification technique with a trained deep-learning model for a set of categories containing various poses of an object within each frame. A “super-character” is formed by embedding respective text categories of the frames as corresponding ideograms in a 2-D symbol having multiple ideograms contained therein. Particular motion of the object is recognized by obtaining the meaning of the “super-character” with image classification of the 2-D symbol via a trained convolutional neural networks model for various motions of the object derived from specific sequential combinations of text categories. Ideograms may contain imagery data instead of text categories, e.g., detailed images or reduced-size images.",Motion recognition via a two-dimensional symbol having multiple ideograms contained therein
"Methods of recognizing motions of an object in a video clip or an image sequence are disclosed. A plurality of frames are selected out of a video clip or an image sequence of interest. A text category is associated with each frame by applying an image classification technique with a trained deep-learning model for a set of categories containing various poses of an object within each frame. A “super-character” is formed by embedding respective text categories of the frames as corresponding ideograms in a 2-D symbol having multiple ideograms contained therein. Particular motion of the object is recognized by obtaining the meaning of the “super-character” with image classification of the 2-D symbol via a trained convolutional neural networks model for various motions of the object derived from specific sequential combinations of text categories. Ideograms may contain imagery data instead of text categories, e.g., detailed images or reduced-size images.",Motion recognition via a two-dimensional symbol having multiple ideograms contained therein
"Methods of recognizing motions of an object in a video clip or an image sequence are disclosed. A plurality of frames are selected out of a video clip or an image sequence of interest. A text category is associated with each frame by applying an image classification technique with a trained deep-learning model for a set of categories containing various poses of an object within each frame. A “super-character” is formed by embedding respective text categories of the frames as corresponding ideograms in a 2-D symbol having multiple ideograms contained therein. Particular motion of the object is recognized by obtaining the meaning of the “super-character” with image classification of the 2-D symbol via a trained convolutional neural networks model for various motions of the object derived from specific sequential combinations of text categories. Ideograms may contain imagery data instead of text categories, e.g., detailed images or reduced-size images.",Motion recognition via a two-dimensional symbol having multiple ideograms contained therein
"The method disclosed receives a data stream from an MWD system and determines the response of a specific energy (SE) relationship and a rate of penetration (ROP) relationship respectively to variables controllable by the operator, in order to enable operation at a lowest SE, or a highest Rate-of-Penetration (ROP) to SE ratio. The method utilizes artificial neural networks trained by MWD data to deduce a depth-of-cut and torque based on relationships manifesting between the various data points collected, and an SE equation and a predicted ROP is evaluated over a series of probable operating points. The method continuously gathers and analyzes MWD data during the drilling operation and allows an operator to manage the controllable parameters such that operation at the lowest SE or highest ROP or ROP to SE ratio can be achieved during the drilling operation.",MSE based drilling optimization using neural network simulaton
"An air data sensing probe or MFP includes a barrel having multiple pressure sensing ports for sensing multiple pressures. Instrumentation coupled to the pressure sensing ports provides electrical signals related to the multiple pressures. A neural network, coupled to the instrumentation, receives as inputs the electrical signals related to the multiple pressures, and in response, the neural network provides, as an output, electrical signals indicative of at least one local air data parameter for the air data sensing probe.",Multi-function air data probes employing neural networks for determining local air data parameters
"A method for extracting features from cardiac acoustic signals includes the steps of obtaining a cardiac acoustic signal, and extracting physiologically significant features from the cardiac acoustic signal using a neural network. A method for evaluating cardiac acoustic signals includes the steps of obtaining a cardiac acoustic signal, analyzing the cardiac acoustic signal with a wavelet decomposition to extract time-frequency information, and identifying basic heart sounds using neural networks applied to the extracted time-frequency information. A method for determining cardiac event sequences from cardiac acoustic signals includes the steps of obtaining a cardiac acoustic signal, and processing a sequence of features extracted from the cardiac acoustic signal by a probabilistic finite-state automaton to determine a most probable sequence of cardiac events given the cardiac acoustic signal. A method for extracting findings from cardiac acoustic signals includes the steps of obtaining a cardiac acoustic signal, processing the cardiac acoustic signal to determine a most probable sequence of cardiac events given the cardiac acoustic signal, and extracting the clinical findings from the sequence of cardiac events. A method for determining a status of heart murmurs includes the steps of obtaining a cardiac acoustic signal, detecting a murmur, if any, from the cardiac acoustic signal, and determining whether the murmur is one of functional and pathological based upon expert rules.",Multi-modal cardiac diagnostic decision support system and method
"A method for extracting and evaluating features from cardiac acoustic signals includes the steps of obtaining a cardiac acoustic signal, extracting physiologically significant features from the cardiac acoustic signal using a neural network, analyzing the cardiac acoustic signal with a wavelist decomposition to extract time-frequency information, and identifying basic heart sounds using neutral networks applied to the extracted time-frequency information. A method for determining a status of heart murmurs includes the steps of obtaining a cardiac acoustic signal, detecting a murmur, if any, from the cardiac acoustic signal, and determining whether the murmur is one of functional and pathological based upon expert rules.",Multi-modal cardiac diagnostic decision support system and method
"Disclosed herein are devices, systems, and methods for detecting the presence and orientation of traffic lane markings. Deep convolutional neural networks are used with convolutional layers and max-pooling layers to generate fully connected nodes. After the convolutional and max-pooling layers, two sublayers are applied, one to determine presence and one to determine geometry. The presence of a lane marking segment as detected by the first sublayer can serve as a gate for the second sublayer by regulating the credit assignment for training the network. Only when the first sublayer predicts actual presence will the geometric layout of the lane marking segment contribute to the training of the overall network. This achieves advantages with respect to accuracy and efficiency and contributes to efficient robust model selection.",Multi-task deep convolutional neural networks for efficient and robust traffic lane detection
"A system configured to improve beamforming by using deep neural networks (DNNs). The system can use one trained DNN to focus on a first person speaking an utterance (e.g., target user) and one or more trained DNNs to focus on noise source(s) (e.g., wireless loudspeaker(s), a second person speaking, other localized sources of noise, or the like). The DNNs may generate time-frequency mask data that indicates individual frequency bands that correspond to the particular source detected by the DNN. Using this mask data, a beamformer can generate beamformed audio data that is specific to a source of noise. The system may perform noise cancellation to isolate first beamformed audio data associated with the target user by removing second beamformed audio data associated with noise source(s).",Multichannel noise cancellation using deep neural network masking
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for using neural networks. One of the methods includes receiving, by a neural network in a speech recognition system, first data representing a first raw audio signal and second data representing a second raw audio signal, the first raw audio signal and the second raw audio signal for the same period of time, generating, by a spatial filtering convolutional layer in the neural network, a spatial filtered output the first data and the second data, generating, by a spectral filtering convolutional layer in the neural network, a spectral filtered output using the spatial filtered output, and processing, by one or more additional layers in the neural network, the spectral filtered output to predict sub-word units encoded in both the first raw audio signal and the second raw audio signal.",Multichannel raw-waveform neural networks
"A method for and system for training a connection network located between neuron layers within a multi-layer physical neural network. A multi-layer physical neural network can be formed having a plurality of inputs and a plurality outputs thereof, wherein the multi-layer physical neural network comprises a plurality of layers, wherein each layer comprises one or more connection networks and associated neurons. Thereafter, a training wave can be initiated across the connection networks associated with an initial layer of the multi-layer physical neural network which propagates thereafter through succeeding connection networks of succeeding layers of the neural network by successively closing and opening switches associated with each layer. One or more feedback signals thereof can be automatically provided to strengthen or weaken nanoconnections associated with each connection network.",Multilayer training in a physical neural network formed utilizing nanotechnology
"Methods and systems for processing multilingual DNN acoustic models are described. An example method may include receiving training data that includes a respective training data set for each of two or more or languages. A multilingual deep neural network (DNN) acoustic model may be processed based on the training data. The multilingual DNN acoustic model may include a feedforward neural network having multiple layers of one or more nodes. Each node of a given layer may connect with a respective weight to each node of a subsequent layer, and the multiple layers of one or more nodes may include one or more shared hidden layers of nodes and a language-specific output layer of nodes corresponding to each of the two or more languages. Additionally, weights associated with the multiple layers of one or more nodes of the processed multilingual DNN acoustic model may be stored in a database.","Multilingual, acoustic deep neural networks"
"A neuronal network analysis plate having alternating rows of recording wells and amplifying wells. The recording wells contain a neural cell network and a series of electrodes for recording the action potential signals of the neurons. The electrodes are connected to amplifiers in adjacent amplifying wells. The close proximity of these amplifiers ideal because it permits the parallel, non-multiplexed recording of action potential signals from multiple different active nerve cell networks. The amplifiers in the amplifying wells can then be connected to external amplification equipment. The neuronal network analysis plate may be contained within a single commercially available 24 or 96 well plate. The neuronal network analysis plate can be used to detect and quantify pharmacological and toxicological responses of the neural cells to one or more agents in vitro.",Multinetwork nerve cell assay platform with parallel recording capability
"A multiphase flow meter used in conjunction with an electrical submersible pump system in a well bore includes sensors to determine and transmit well bore pressure measurements, including tubing and down hole pressure measurements. The multiphase flow meter also includes at least one artificial neural network device to be used for outputting flow characteristics of the well bore. The artificial neural network device is trained to output tubing and downhole flow characteristics responsive to multiphase-flow pressure gradient calculations and pump and reservoir models, combined with standard down-hole pressure, tubing surface pressure readings, and the frequency applied to the electrical submersible pump motor.",Multiphase flow meter for electrical submersible pumps using artificial neural networks
"The present embodiments relate to detecting multiple landmarks in medical images. By way of introduction, the present embodiments described below include apparatuses and methods for detecting landmarks using hierarchical feature learning with end-to-end training. Multiple neural networks are provided with convolutional layers for extracting features from medical images and with a convolutional layer for learning spatial relationships between the extracted features. Each neural network is trained to detect different landmarks using a different resolution of the medical images, and the convolutional layers of each neural network are trained together with end-to-end training to learn appearance and spatial configuration simultaneously. The trained neural networks detect multiple landmarks in a test image iteratively by detecting landmarks at different resolutions, using landmarks detected a lesser resolutions to detect additional landmarks at higher resolutions.",Multiple landmark detection in medical images based on hierarchical feature learning and end-to-end training
An improved analog-to digital converter employs multiple sample and hold circuits to simultaneously supply multiple neural network A/D converters with samples of an analog input voltage so that the neural networks may simultaneously perform conversion of the different samples into a lower-order portion of the digital signals. A single fast A/D converter converts each sample into a higher-order portion of each digital signal.,Multiple neural network analog to digital converter for simultaneously processing multiple samples
